X,Y,OBJECTID,ID,NAME,ADDRESS,CITY,STATE,ZIP,COUNTY,PHONE,ADMIN,FIRST_BUIL,LAST_BUILT,AGE,MSHDA,LIHTC,MARKET,RAP,SEC_515_UN,SEC_202_UN,BARRIER_FR,REHAB_CHOI,PUBLIC_HSG,SEC_221D3_,SEC_236_UN,SEC_8_UNIT,RS_UNITS,SPECIAL_HS,ELD_EFF,ELD_1BR,ELD_2BR,ELD_3BR,ELD_4BR,ELD_TOT,FAM_EFF,FAM_1BR,FAM_2BR,FAM_3BR,FAM_4BR,FAM_TOT
,,1,244,Orion Four Seasons,Baldwin Road,Orion Twp,MI,0,Oakland, ,MSHDA,2002,2002,9,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,24,0,42
-83.1544779119999,42.1305686170001,2,514,Island Woods,Gray's Drive,Grosse Ile,MI,48138,Wayne,(734)476-8029,MSHDA,2002,2002,9,20,0,30,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,50,0,0,0,0,0,0
-83.1544779119999,42.1305686170001,3,32,Flint Hsg Commission,Scattered Sites,Flint,MI,0,Genesee,(810)736-3050,Public Housing,1968,1970,41,0,0,0,0,0,0,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,47,133
-83.032305014,42.3528630370001,4,595,Pittman Memorial,Wilkins & Chene Street,Detroit,MI,48207,Wayne, ,Other,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,0,0,60,0,0,0,0,0,0
-83.032305014,42.3528630370001,5,600,Rademaker Lodge, ,Detroit,MI,0,Wayne, ,HUD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,16,0,0,0,16
-82.5394045959999,42.6227855500001,6,313,Rolling Brook Apts III,1500 Fruit St,Algonac,MI,48001,St. Clair,(810)794-2440,Rural Housing,1992,1992,19,0,0,0,0,25,0,2,0,0,0,0,0,0,0,0,25,0,0,0,25,0,0,0,0,0,0
-82.5410143829999,42.623469035,7,311,Rolling Brook Apts,1885 Fruit Street,Algonac,MI,48001,St. Clair,(810)794-2440,Rural Housing,1984,1984,27,0,24,0,0,24,0,0,0,0,0,0,0,0,0,0,24,0,0,0,24,0,0,0,0,0,0
-82.5410143829999,42.623469035,8,312,Rolling Brook Apts II,1885 Fruit Street,Algonac,MI,48001,St. Clair,(810)794-2440,Rural Housing,1990,1990,21,0,24,0,10,14,0,0,0,0,0,0,0,0,0,0,24,0,0,0,24,0,0,0,0,0,0
-83.0454620949999,42.9251016440001,9,86,Plaza Towers Apts,580 N Main St,Almont,MI,48003,Lapeer,(810)798-3370,Rural Housing,0,0,0,0,0,0,0,8,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,10,10,4,0,24
-83.218888837,42.545512355,10,183,Baldwin House,200 Chester St,Birmingham,MI,48009,Oakland,(248)540-4555,MSHDA,1993,1993,18,53,53,78,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,95,0,10,4,0,0,14
-83.0869493019999,42.320636882,11,708,"Wilshire, The",388 W. Grand Blvd,Detroit,MI,48009,Wayne,(517)799-9667,Other,0,0,0,0,20,0,19,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,22,0,0,40
-82.932831004,43.013028359,12,306,Matteson Street Apt Co,130 Matteson Street,Capac,MI,48014,St. Clair,(810)395-2698,Rural Housing,1992,1993,18,0,24,0,0,24,0,0,0,0,0,0,0,0,0,0,24,0,0,0,24,0,0,0,0,0,0
-82.9316349059999,43.0196203890001,13,295,Glencrest Apts I,1522 Park Street,Capac,MI,48014,St. Clair,(810)395-4549,Rural Housing,1982,1983,28,0,15,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,26,0,0,48
-82.9316349059999,43.0196203890001,14,296,Glencrest Apts Ii,1522 Park Street,Capac,MI,48014,St. Clair,(810)395-4549,Rural Housing,1987,1987,24,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,16
-83.033797888,42.4772482660001,15,139,Lawrence Park,7000 10 Mile,Center Line,MI,48015,Macomb,(586)757-0502,MSHDA,1982,1982,29,0,0,0,0,0,0,13,0,0,0,0,252,0,0,0,119,9,0,0,128,0,0,100,24,0,124
-83.0266842509999,42.477464104,16,114,Center Line Park Towers,8033 10 Mile Road,Center Line,MI,48015,Macomb,(586)755-2270,MSHDA,1976,2006,5,0,160,0,0,0,0,33,0,0,0,30,270,0,0,0,267,33,0,0,300,0,0,0,0,0,0
